"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"237351_at",-4.15665473198476,2.95655199630579,-21.2990049781467,1.36358999093634e-42,7.45542827544446e-38,86.2365966234485
"214505_s_at",-5.37346542466693,4.41011070527273,-20.6793051127983,2.2238002191759e-41,6.07931384917212e-37,83.4982049862098
"89977_at",-4.3656538656115,3.11606457590909,-20.4184019662161,7.3068629218862e-41,1.33167576751376e-36,82.3304743236418
"230595_at",-3.58264338405548,2.91407675797521,-20.3185128783774,1.15479849731764e-40,1.43473317031697e-36,81.8810604187851
"214582_at",-4.40909778863978,3.14658973001653,-20.2906984145282,1.31205593993321e-40,1.43473317031697e-36,81.755688712202
"223764_x_at",-3.50607290562898,2.85191547441322,-19.986388734056,5.33731768481547e-40,4.86363074028809e-36,80.3774540433818
"219059_s_at",-4.44331503759336,3.00984852873554,-19.7856900729831,1.35513149996329e-39,1.05845449657847e-35,79.4618664703753
"235670_at",-3.58966974250457,2.95757510520661,-19.6287423562429,2.8181408772634e-39,1.9260231558047e-35,78.7422004359614
"206930_at",-4.48815015292656,2.96766882066116,-19.5957168474433,3.28885969316909e-39,1.99798226360022e-35,78.5903550032719
"221295_at",-3.93009694573818,3.00111955195041,-19.4875992380068,5.45853756839842e-39,2.98445541552184e-35,78.0922497736755
"222083_at",-5.1308059996958,3.12694300176033,-19.4205584352027,7.47883094353089e-39,3.71731892579592e-35,77.7826186382691
"235201_at",-2.72765178917877,2.85098438920661,-19.3774307736808,9.16095663110125e-39,4.17396086504551e-35,77.5831199751977
"235382_at",-4.14558306146839,3.0033164955124,-19.2235810254355,1.89268621983503e-38,7.96020146688311e-35,76.8694586621809
"230463_at",-3.70458784234902,2.95936227393388,-19.0193085471016,4.98322528828404e-38,1.94612744740664e-34,75.9171015353388
"223727_at",-4.43412520861093,4.11836992513223,-18.8869195009062,9.35876313982494e-38,3.41126916446619e-34,75.2969530077129
"232313_at",-3.79893174463638,5.09337377700826,-18.8542485403834,1.09373586429496e-37,3.73750052377043e-34,75.1435587961089
"206069_s_at",-3.61100601371727,2.85086704899174,-18.8248530084781,1.25854858940025e-37,4.04771436032108e-34,75.0054233680414
"239273_s_at",-3.37498223780719,2.96278552386777,-18.7829662224926,1.53749177244294e-37,4.67013125879544e-34,74.8083930834212
"220061_at",-3.61375752206285,3.62321833866942,-18.7053306210301,2.22953041235308e-37,6.41576712081077e-34,74.442595774198
"204997_at",-5.37890761199382,3.27606224777686,-18.657008301827,2.81086896282672e-37,7.40667252701544e-34,74.2145150744506
"206262_at",-4.5962494901375,3.25789273910744,-18.6545066178721,2.84481249322952e-37,7.40667252701544e-34,74.2026988174968
"206030_at",-4.68077780768107,3.17096029665289,-18.5469230411186,4.77049813692926e-37,1.14110048688627e-33,73.693770133687
"230282_at",-2.24034958462221,2.72619480572727,-18.5451657036033,4.81101049764622e-37,1.14110048688627e-33,73.6854443716015
"243879_at",-3.58665965451305,3.13142328821488,-18.5367882169021,5.00894589579706e-37,1.14110048688627e-33,73.6457486703518
"1563182_at",-4.83035759268732,4.46505912516529,-18.4968328068719,6.07171607024015e-37,1.32788430456152e-33,73.4562982019895
"1552519_at",-5.83013652149442,3.44225464800826,-18.4556314717693,7.4058399904512e-37,1.557362697992e-33,73.2607209188954
"1555741_at",-2.80764902636371,2.73662678339669,-18.4098900413967,9.23532317376075e-37,1.87015294268655e-33,73.0433317681026
"236383_at",-2.80614779100346,2.88833316715702,-18.2750956339792,1.77280525601972e-36,3.46171883474565e-33,72.4011184777902
"206068_s_at",-3.61965097822684,2.98860108827273,-18.2647977479007,1.86353858504387e-36,3.51341283231977e-33,72.3519575001273
"220736_at",-4.51392137293215,3.02106040386777,-18.1730317231339,2.90914790743432e-36,5.30192206129904e-33,71.9132638355746
"220327_at",-3.53736253410299,3.24145003709091,-18.1281702513026,3.61821617447968e-36,6.38148288192504e-33,71.6983997601861
