"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"236216_at",0.68852158116681,6.46626367996694,3.62170465248087,0.000429987609211806,0.0023357747177005,-0.959658091922855
"204788_s_at",0.759232697669632,6.57091835814876,3.62154371511009,0.000430228680330232,0.00233685208593835,-0.960184705109032
"1553764_a_at",0.817398063052573,3.98218182463636,3.62142920611707,0.000430400283292462,0.00233755195083097,-0.960559385685955
"232067_at",0.890523772264687,3.31045513234711,3.62114935544302,0.000430819939311792,0.00233944532739295,-0.961475034592137
"211430_s_at",2.32737407275559,11.1639638614876,3.62113966584521,0.000430834476479553,0.00233944532739295,-0.961506737160845
"205120_s_at",-1.18901607759905,7.03472816066116,-3.62097703896094,0.000431078532523927,0.00234053810980593,-0.962038812042402
"200710_at",-0.734933508837745,9.26348922529752,-3.62088414669769,0.000431217995653297,0.00234106284503465,-0.962342723919075
"216526_x_at",0.895031672855113,11.9924701648264,3.62081944691362,0.000431315157404174,0.00234135784661172,-0.962554395903191
"225758_s_at",0.548022743060488,4.42291939857025,3.62010039462371,0.000432396375317087,0.00234699412493415,-0.964906645097998
"224656_s_at",-0.589102179049851,9.19645927238843,-3.61990012758403,0.000432697966849444,0.00234839798863345,-0.965561715702758
"227747_at",0.773471051295795,3.38140233686777,3.61981726013333,0.000432822818982823,0.00234884244445517,-0.965832765440145
"223279_s_at",-0.834143190535125,5.97183143068595,-3.61970445112301,0.000432992837258396,0.00234953189530596,-0.966201742518096
"212961_x_at",1.05027861596487,8.48424089923967,3.61954841691198,0.000433228105743517,0.00235057523881381,-0.96671208590624
"204206_at",0.513127283551404,8.32185876739669,3.61927942688685,0.000433633972805804,0.00235254390386558,-0.967591834108477
"229679_at",-0.759982366003441,5.58153124917355,-3.61903964784529,0.000433996067671666,0.00235427472963075,-0.968376001809152
"221645_s_at",0.956277843721657,7.54630525871074,3.61876628393295,0.000434409228322854,0.00235628219826905,-0.969269953841534
"1555993_at",1.33331260206446,4.36578038767769,3.61859354958426,0.000434670489677403,0.00235746543230949,-0.969834800118582
"209291_at",-1.96324629801932,7.81884971726446,-3.61794231719649,0.000435656817199066,0.00236258048803401,-0.971964154236423
"214553_s_at",-0.581345739816209,3.94316578131405,-3.6178858416022,0.000435742452222063,0.0023628105301241,-0.972148799698569
"226065_at",1.01063990855199,6.90968755689256,3.61744313291756,0.000436414291261268,0.00236609430009538,-0.973596143932006
"236231_at",-0.412975877497201,2.67122954513223,-3.61742976939044,0.000436434586492216,0.00236609430009538,-0.973639831003274
"226720_at",0.731464113840457,5.83676693771901,3.61739095662427,0.000436493536621131,0.00236617926975613,-0.973766714142478
"218581_at",-0.470306478191784,5.29212884304959,-3.61713339033943,0.000436884927644772,0.0023680661662514,-0.974608698570739
"215587_x_at",0.82441825484328,6.7971934983719,3.61659712305252,0.000437700889975646,0.00237225378265449,-0.976361602510332
"209001_s_at",-0.660858339347927,9.52311173409917,-3.61641997678397,0.000437970744813879,0.0023734810657844,-0.976940597032685
"219082_at",0.667779800203598,4.27560388410744,3.61627338511282,0.000438194173359921,0.00237445653403902,-0.977419708036897
"203527_s_at",-0.211229923706481,2.58223580195868,-3.61624257665461,0.00043824114394756,0.00237447572543185,-0.977520398483684
"242685_at",-0.287595019059396,2.40560272829752,-3.61618576092789,0.000438327777706962,0.00237470979450338,-0.977706085974463
"230028_at",0.407782049654395,2.70707011519835,3.61585373031116,0.000438834388435648,0.00237721888315853,-0.978791195255758
"218563_at",-0.838375404861507,10.3703838934545,-3.61561257021388,0.00043920269624569,0.0023789783452777,-0.979579280464456
"232169_x_at",0.874243439305362,8.94867689777686,3.61555311857529,0.000439293537665201,0.0023792346876518,-0.979773555531905
"217739_s_at",-0.971216726157314,8.11716985975207,-3.61544236420179,0.00043946281642986,0.00237991575755771,-0.980135469980352
"1557352_at",1.01851511870303,3.86939456020661,3.61502799108557,0.000440096697927846,0.00238311250462563,-0.981489447016959
"230312_at",1.2004019730933,3.9985644708595,3.61446207860577,0.000440963790671655,0.00238757132649759,-0.983338382450032
"226553_at",1.33807200504862,4.75257597203306,3.61403331479755,0.000441621818588642,0.00239089740878641,-0.98473907441509
"239748_x_at",0.660036879615292,11.4872546094545,3.61386111074173,0.000441886362911599,0.00239209276160313,-0.985301595641141
"241466_at",0.788951599195109,3.65871393699174,3.61370845094934,0.000442121008056991,0.00239312603856212,-0.985800255649052
"1561461_at",-0.0969491333970618,2.33657417287603,-3.61350816359039,0.00044242903756195,0.00239455628872496,-0.986454464461401
"1552938_at",-0.131044219847305,2.34440421059504,-3.61321801864763,0.000442875622174956,0.00239673608259088,-0.987402128063167
"202295_s_at",0.907891815219948,10.3739865958595,3.61295979444818,0.000443273433342918,0.00239865152098417,-0.988245481623983
"228015_s_at",-0.217216163053198,2.43352392703306,-3.61259589802656,0.000443834612727679,0.00240117325223833,-0.989433875800867
"236561_at",1.14091987525844,5.81913967638843,3.6125935649611,0.000443838212807343,0.00240117325223833,-0.989441494695781
"228917_at",-0.510135246717236,4.7271016707438,-3.61257218575876,0.000443871203664798,0.00240117325223833,-0.989511310768296
"213665_at",0.934637410924749,3.93190280623967,3.61243766889263,0.000444078833649144,0.00240205878806559,-0.989950582377551
"213400_s_at",0.976025541921883,8.19688499450413,3.61206569386881,0.000444653463876454,0.0024048007387207,-0.991165217217843
"201467_s_at",-1.7255547638926,6.34727392045454,-3.61205259181709,0.000444673716844376,0.0024048007387207,-0.991207998390092
"223057_s_at",0.790398929769761,4.15826432471901,3.61193887003023,0.00044484954301295,0.00240551367463486,-0.991579320598939
"1555844_s_at",0.67804759252027,10.882017367562,3.61179865078456,0.000445066427560407,0.00240644846982449,-0.992037148884624
"227176_at",-0.857314712754006,4.61108618947107,-3.61140196896989,0.000445680537709495,0.00240953064365338,-0.993332272944454
"209676_at",-1.02277134526926,2.89778785041322,-3.6111661565496,0.000446045982497848,0.00241126795462427,-0.994102121367041
"218316_at",-0.579454947709339,6.5939082198843,-3.61110103075755,0.000446146959562415,0.00241144322045916,-0.994314728112045
"35147_at",1.16036023305935,5.87939045960331,3.61108835615099,0.000446166613958204,0.00241144322045916,-0.994356104707329
"232219_x_at",1.08826872724882,6.29083434610744,3.61044703934437,0.000447162166804737,0.00241658510131946,-0.996449548521849
